source_id,source_kind,title,citation,source_path,source_url,evidence_layer,availability,evidence_strength,evidence_type,needs_manual_review,review_note,classification_rule
"SRC-EVP-001","web_url","平民女校旧址","上海市静安区图书馆，访问日期2026-08-21","","https://www.shjinganlib.net/JaImpressionHistoryContent.aspx?ColumnNameEn=HISTORICBUILDINGS&id=171","web_crosscheck","web","二手","研究论著","yes","可确认平民女校于1922年2月创办且丁玲为学生，但不能单独证明丁玲于2月抵沪。2026-08-21 AI辅助网页核验：页面可访问，摘录逐字命中；页面另载平民女校1922年底停办、部分学生后进入上海大学，可佐证EVT-00029→EVT-00150时序。","web:public_library"
"SRC-EVP-002","web_url","瞿秋白","上海大学，访问日期2026-08-21","","https://www.shu.edu.cn/info/1666/273402.htm","web_crosscheck","web","二手","研究论著","yes","上海大学人物页，明确给出1923年7月任职信息。2026-08-21 AI辅助网页核验：页面可访问，任职信息逐字命中。","web:university"
"SRC-EVP-003","web_url","1923年上海大学校史大事记","上海大学博物馆，访问日期2026-08-21","","https://museum.shu.edu.cn/info/1048/1232.htm","web_crosscheck","web","二手","研究论著","yes","同一机构的校史页，可交叉核对任职与录取信息，但不能与上海大学人物页算作完全独立来源。2026-08-21 AI辅助网页核验：页面可访问，“夏”“是年”两处摘录均逐字命中。","web:university_museum"
"SRC-EVP-004","web_url","丁玲","上海大学，访问日期2026-08-21","","https://www.shu.edu.cn/info/1666/272872.htm","web_crosscheck","web","二手","研究论著","yes","上海大学人物页，明确给出1923年8月入学信息。2026-08-21 AI辅助网页核验：页面可访问，入学信息逐字命中；页面未提中国文学系，与原判一致。","web:university"
"SRC-EVP-005","web_url","冯铿","中国军网英烈纪念堂，检索日期2026-08-21","","https://www.81.cn/yljnt/2013-10/16/content_5594592.htm","web_crosscheck","web","二手","研究论著","yes","检索结果可定位到1931年1月17日东方旅社秘密会议及被捕经过；当前自动直连失败，人工审核时必须在浏览器复核页面或更换稳定官方来源。2026-08-21 AI辅助网页核验：直连复现404，确认失效；已新增替代来源SRC-EVP-011，本来源转为废弃候选，不再用于转正。","web:official_memorial"
"SRC-EVP-006","web_url","纪念中国左翼作家联盟成立96周年，图文展及后续巡展启动","上海市文化和旅游局，原载解放日报，访问日期2026-08-21","","https://whlyj.sh.gov.cn/gqfc/20260302/7517d43ef448452cb0c6e026b85ef8b9.html","web_crosscheck","web","二手","研究论著","yes","可确认五烈士姓名、1931年2月7日、上海龙华以及同批24人；属于官方转载的二手报道。2026-08-21 AI辅助网页核验：页面可访问，五烈士姓名、1931年2月7日、龙华、“共24人”均逐字命中；确认为解放日报转载（2026-03-02发布）。","web:government_reprint"
"SRC-EVP-007","web_url","红房子里故事多——素描昆山花园路及小花园","上海党史网，访问日期2026-08-21","","https://www.ccphistory.org.cn/shds/shhm/content/56860ccf-655f-4663-8380-f0de32c4ff39.html","web_crosscheck","web","二手","研究论著","yes","明确记载1933年5月14日丁玲在昆山花园路7号被秘密绑架。2026-08-21 AI辅助网页核验：页面可访问，事实成立；但该文实为2024-12-02转载《新民晚报》文章（作者胡根喜），citation应补注原载；相关摘录已按逐字原文修订（见FE-EVP-0009）。","web:party_history"
"SRC-EVP-008","web_url","孙宋往事","上海市政府下属网站，访问日期2026-08-21","","https://jgj.sh.gov.cn/shhq/app/iwb/ssws/2020/06/09/2c92f58b720c4d490172970284e14f5a.html?tm=1638165180755","web_crosscheck","web","二手","研究论著","yes","正文及图注明确记载1933年2月17日宋庆龄在莫利爱路寓所宴请萧伯纳。2026-08-21 AI辅助网页核验：页面可访问，事实成立；citation应改写为“上海市孙中山宋庆龄文物管理委员会‘孙宋往事’平台（上海宋庆龄研究会，撰文徐涛）”；关键句出自照片图注，quote已按图注原文修正（见FE-EVP-0010）。","web:government_site"
"SRC-EVP-009","web_url","瞿秋白（1899—1935）","常州史志，访问日期2026-08-21","","https://fzg.changzhou.gov.cn/html/fzg/2016/FNBDOFDF_0104/26148.html","web_crosscheck","web","二手","研究论著","yes","明确记载1935年2月24日拂晓在长汀水口镇小径村附近被俘。2026-08-21 AI辅助网页核验：页面可访问，被俘信息基本逐字命中（原文多“途经福建省长汀县濯田区”定语）；“小径村”写法确认。","web:local_chronicle"
"SRC-EVP-010","web_url","远东反战大会旧址","复旦大学上海红色文化资源网，访问日期2026-08-21","","https://shhongse.fudan.edu.cn/info/1024/1586.htm","web_crosscheck","web","二手","研究论著","yes","明确记载会议日期、霍山路85号、主持人、参会规模和会议产出。2026-08-21 AI辅助网页核验：页面可访问，摘录逐字命中；页面注明资料来源为《上海市重要革命遗址通览》，65人出席等细节齐全。","web:university_research"
"SRC-EVP-011","web_url","《潮汕左翼文化名人》（3）冯铿：岭上巾帼 傲梅风骨","纪录小康工程·广东数据库（指导单位：中共广东省委宣传部，建设单位：南方新闻网；内容出自汕头广播电视台电视节目中心专题片），访问日期2026-08-21","","https://gdxk.southcn.com/st/ztp/content/post_371048.html","web_crosscheck","web","二手","专题片文字实录","yes","2026-08-21新增：作为失效来源SRC-EVP-005的替代。明确记载1931年1月17日晚柔石、冯铿到东方旅社参加党内秘密会议被捕、八位同志落网；另载冯铿为左联成立大会出席者及首批50名成员之一。注意：南方网另一同题报道写作“东方饭店”，术语差异需在展示层保留并注明。","web:official_database"
