relation_id,source_person_id,target_person_id,original_relation_type,standard_relation_type,relation_quality_score,relation_risk_level,context,evidence_ref,weight,source_ids,correction_reason,confidence,needs_manual_review,raw_relation_type,llm_suggested_relation_type,final_relation_type,llm_reason,llm_confidence,display_status
REL-00001,ZLH-001,ZLH-002,组织隶属,交往,75,high,晴。上午复东亚日报社信。玄珠来并赠《春蚕》一本。午后得季巿信。得邹韬奋信并还书。达夫来，未见；小雨。上午得董永舒信并泉十五。得林绍仑信，即复。下午北新书局送来版税泉二百。茅盾来并赠《短篇小说集》一本。晚寄《动向》稿一篇,鲁迅日记 1933年5月17日; 鲁迅日记 1934年10月2日,1,SRC-0002;SRC-0003,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；上下文直接出现来访/会见/共同行动类动作,medium,no,组织隶属,交往,交往,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；上下文直接出现来访/会见/共同行动类动作,0.70,formal
REL-00002,ZLH-001,ZLH-002,通信,通信,0,low,微雪。午后得母亲信，九日发。得方璧信。晚费君来，并交到小峰信及版税泉百五十，即付以《两地书》稿一半，赠以《魯迅全集》一本。适夷来，并见赠《苏联童话集》一本；晴。午后寄尚佩吾信并靖华版税百七十。得玄珠信。得山本初枝寄赠之《アララギ》二十五周年纪念葉書三十三枚。得辛岛骁君从朝鲜寄赠之玩具二合六枚，鱼子一合三包，分给鎌田及内山君各一包。得霁野信及靖华译《花园》稿一份,鲁迅日记 1933年1月14日; 鲁迅日记 1933年2月14日,1,SRC-0004;SRC-0005,结构性检测未发现需要自动改写的明确证据。,medium,no,通信,通信,通信,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00003,ZLH-001,ZLH-003,组织隶属,同属组织,105,critical,"献了自己的佳作,如鲁迅、瞿秋白、徐懋庸、聂绀弩、廖沫沙的；迅、瞿秋白、茅盾、冯雪峰等,牢记鲁迅“我们应当造出大群的；安排并护送瞿秋白和陈赔访闭鲁迅,加深了鲁迅对苏区和中国",左联词典 第96页; 左联词典 第104页; 左联词典 第131页; 左联词典 第171页; 左联词典 第193页,5,SRC-0006;SRC-0007;SRC-0008;SRC-0009;SRC-0010,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；存在明显OCR噪声；证据只能支持同属组织或共同组织关联,low,yes,组织隶属,同属组织,同属组织,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；存在明显OCR噪声；证据只能支持同属组织或共同组织关联,0.40,formal
REL-00004,ZLH-001,ZLH-004,交游,交游,25,low,"由左联执行委员会选举产生的。1930年3月2日左联成立时公布的7位常委是鲁迅、冯乃超、钱杏邸、沈端先 ( 日衍 )、田汉、；1932年11月15日《文化月报》1卷1期,鲁迅、茅盾、丁玲、曹靖华、洛扬 ( 冯雪峰 )、突如( 夏衍 )、适夷等联名签署,祖词；馆举行这次会议的情况。出席人沈端先、鲁迅、潘汉年、冯雪峰、",左联词典 第102页; 左联词典 第104页; 左联词典 第107页; 左联词典 第123页; 左联词典 第128页,5,SRC-0011;SRC-0007;SRC-0012;SRC-0013;SRC-0014,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00005,ZLH-001,ZLH-005,组织隶属,交往,75,high,晴。上午收学昭代买之《PetitsPoèmesenProse》一本。下午内山书店送来《厨川白村全集》第五本一本。雪峰来。夜林和清来辞行，不见；晴。午后杨维铨来，并同柔石及广平往施高塔路看パン·ウル个人绘画展览会，购《倒立之演技女儿》一枚，泉卅。晚在中有天请王老太太夜饭，并邀昌群、方仁、秀文姊、三弟、阿玉、阿菩及广平。夜夏［康］农、张友松来。雪峰来；星期。晴。午前广平来。杨律师交来北新书局版税千。午后柔石及三弟来，同往近处看屋，不得。下午广平来，未见。晚柔石来，同往老靶子路看屋，不佳。夜侍桁来。雪峰来,鲁迅日记 1929年12月26日; 鲁迅日记 1929年3月20日; 鲁迅日记 1929年4月23日; 鲁迅日记 1929年4月27日; 鲁迅日记 1929年7月20日; 鲁迅日记 1930年3月23日; 鲁迅日记 1930年3月24日; 鲁迅日记 1930年3月26日; 鲁迅日记 1930年3月28日; 鲁迅日记 1930年4月12日; 鲁迅日记 1930年4月15日; 鲁迅日记 1930年4月8日; 鲁迅日记 1930年5月28日; 鲁迅日记 1930年6月2日,1,SRC-0015;SRC-0016;SRC-0017;SRC-0018;SRC-0019;SRC-0020;SRC-0021;SRC-0022;SRC-0023;SRC-0024;SRC-0025;SRC-0026;SRC-0027;SRC-0028,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；上下文直接出现来访/会见/共同行动类动作,medium,no,组织隶属,交往,交往,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；上下文直接出现来访/会见/共同行动类动作,0.70,formal
REL-00006,ZLH-001,ZLH-005,通信,通信,0,low,晴，热。上午得孙席珍信并《女人的心》一本。得雪峰信，午后复。夜张友松、党家斌来；晴。上午得洛扬信。得紫佩信附心梅叔笺。午后同广平邀冯太太及其女儿并携海婴往光陆大戏院观儿童电影《米老鼠》及《神猫艳语》。夜寄孙师毅信。赠阿玉及阿菩泉五，俾明日可看儿童电影。收申报月刊社稿费十六元,鲁迅日记 1929年10月13日; 鲁迅日记 1929年10月15日; 鲁迅日记 1929年8月10日; 鲁迅日记 1929年8月15日; 鲁迅日记 1929年8月7日; 鲁迅日记 1933年12月23日,4,SRC-0029;SRC-0030;SRC-0031;SRC-0032;SRC-0033;SRC-0034,结构性检测未发现需要自动改写的明确证据。,medium,no,通信,通信,通信,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00007,ZLH-001,ZLH-006,交游,交游,25,low,"中国左翼作家联盟致美国作家代表大会的贺信 …........... C23)中国左翼作家联盟纲领草案 ….......40eeeeeecc (C24)对于左翼作家联盟的意见 ( 鲁迅 ) 一0 C24)普罗文学运动与自我批判 ( 潘汉年…；关决议指导下进行文学创作。鲁迅是左联的“盟主“,也是中国左翼文学运动的旗于,潘汉年、冯雪峰、沈端先 ( 夏衍 )、阳翰笙、冯乃超、郑伯奇、钱杏邵；馆举行这次会议的情况。出席人沈端先、鲁迅、潘汉年、冯雪峰、",左联词典 第5页; 左联词典 第102页; 左联词典 第125页; 左联词典 第128页; 左联词典 第167页,5,SRC-0035;SRC-0011;SRC-0036;SRC-0014;SRC-0037,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00008,ZLH-001,ZLH-007,交游,交游,25,low,"丁玲、周扬等都曾是宁的重要领导人,郭沫若则是东享左联的实；高望重的老作家如鲁迅、茅盾、翔秋日、蒋光慈、田汉、洪深；上半年。周扬1933年下半年一1935年左联执行委员会",左联词典 第102页; 左联词典 第104页; 左联词典 第106页; 左联词典 第107页; 左联词典 第108页,5,SRC-0011;SRC-0007;SRC-0038;SRC-0012;SRC-0039,结构性检测未发现需要自动改写的明确证据。,medium,no,交游,交游,交游,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00009,ZLH-001,ZLH-008,通信,通信,0,low,晴。上午同广平携海婴往石井医院诊。午后三弟来。今明两日与内山君同开版画展览会于购买组合第一店楼上，下午与广平同往观。得田汉信并致郑振铎信及译稿。往内山书店买《千夜一夜》（八）及《抒情カツト案集》各一本，共泉七元八角。夜蒋径三来，即以田汉信…,鲁迅日记 1930年10月4日,1,SRC-0040,结构性检测未发现需要自动改写的明确证据。,medium,no,通信,通信,通信,结构性检测未发现需要自动改写的明确证据。,0.70,formal
REL-00010,ZLH-001,ZLH-009,组织隶属,通信,60,high,晴，风，大热。上午得曹白信并郝力群木刻三幅。得郑伯奇信。下午须藤先生来注射。晚增田君来辞行，赠以食品四种,鲁迅日记 1936年7月9日; 左联回忆录 第700页,3,SRC-0041;SRC-0042,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；上下文直接出现来信/收信/寄信类动作,medium,no,组织隶属,通信,通信,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；上下文直接出现来信/收信/寄信类动作,0.70,formal
