evidence_id,subject_type,subject_id,predicate,object_value,source_id,locator,quote,evidence_support,source_level,review_status,reviewer_note,origin_evidence_id
FE-SUP-0001,person,ZLH-001,person_birth_year,鲁迅生于1881年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0002,person,ZLH-001,person_death_year,鲁迅卒于1936年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
FE-SUP-0003,person,ZLH-001,person_role,鲁迅左联角色：核心领导,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充角色证据（组织分类角色）；请人工核对后转正,
FE-SUP-0004,person,ZLH-002,person_birth_year,茅盾生于1896年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0005,person,ZLH-002,person_death_year,茅盾卒于1981年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
FE-SUP-0006,person,ZLH-002,person_role,茅盾左联角色：核心领导,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充角色证据（组织分类角色）；请人工核对后转正,
FE-SUP-0007,person,ZLH-003,person_birth_year,瞿秋白生于1899年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0008,person,ZLH-003,person_death_year,瞿秋白卒于1935年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
FE-SUP-0009,person,ZLH-003,person_role,瞿秋白左联角色：核心领导,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充角色证据（组织分类角色）；请人工核对后转正,
FE-SUP-0010,person,ZLH-004,person_birth_year,夏衍生于1900年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0011,person,ZLH-004,person_death_year,夏衍卒于1995年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
FE-SUP-0012,person,ZLH-004,person_role,夏衍左联角色：核心领导,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充角色证据（组织分类角色）；请人工核对后转正,
FE-SUP-0013,person,ZLH-005,person_birth_year,冯雪峰生于1903年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0014,person,ZLH-005,person_death_year,冯雪峰卒于1976年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
FE-SUP-0015,person,ZLH-005,person_role,冯雪峰左联角色：核心领导,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充角色证据（组织分类角色）；请人工核对后转正,
FE-SUP-0016,person,ZLH-006,person_birth_year,潘汉年生于1906年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0017,person,ZLH-006,person_death_year,潘汉年卒于1977年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
FE-SUP-0018,person,ZLH-006,person_role,潘汉年左联角色：核心领导,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充角色证据（组织分类角色）；请人工核对后转正,
FE-SUP-0019,person,ZLH-007,person_birth_year,周扬生于1908年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0020,person,ZLH-007,person_death_year,周扬卒于1989年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
FE-SUP-0021,person,ZLH-007,person_role,周扬左联角色：核心领导,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充角色证据（组织分类角色）；请人工核对后转正,
FE-SUP-0022,person,ZLH-008,person_birth_year,田汉生于1898年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0023,person,ZLH-008,person_death_year,田汉卒于1968年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
FE-SUP-0024,person,ZLH-008,person_role,田汉左联角色：核心领导,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充角色证据（组织分类角色）；请人工核对后转正,
FE-SUP-0025,person,ZLH-009,person_birth_year,郑伯奇生于1895年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0026,person,ZLH-009,person_death_year,郑伯奇卒于1979年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
FE-SUP-0027,person,ZLH-009,person_role,郑伯奇左联角色：核心领导,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充角色证据（组织分类角色）；请人工核对后转正,
FE-SUP-0028,person,ZLH-010,person_birth_year,洪深生于1894年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0029,person,ZLH-010,person_death_year,洪深卒于1955年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
FE-SUP-0030,person,ZLH-010,person_role,洪深左联角色：核心领导,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充角色证据（组织分类角色）；请人工核对后转正,
FE-SUP-0031,person,ZLH-014,person_birth_year,冯乃超生于1905年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0032,person,ZLH-014,person_death_year,冯乃超卒于1983年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
FE-SUP-0033,person,ZLH-014,person_role,冯乃超左联角色：核心领导,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充角色证据（组织分类角色）；请人工核对后转正,
FE-SUP-0034,person,ZLH-015,person_birth_year,郁达夫生于1896年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0035,person,ZLH-015,person_death_year,郁达夫卒于1945年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
FE-SUP-0036,person,ZLH-015,person_role,郁达夫左联角色：核心领导,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充角色证据（组织分类角色）；请人工核对后转正,
FE-SUP-0037,person,ZLH-017,person_birth_year,胡也频生于1903年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0038,person,ZLH-017,person_death_year,胡也频卒于1931年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
FE-SUP-0039,person,ZLH-017,person_role,胡也频左联角色：骨干成员,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充角色证据（组织分类角色）；请人工核对后转正,
FE-SUP-0040,person,ZLH-021,person_birth_year,丁玲生于1904年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充生年证据；请人工比对权威来源后转正,
FE-SUP-0041,person,ZLH-021,person_death_year,丁玲卒于1986年,SRC-SUP-01,中国大百科全书·中国文学卷（待核卷页）,,support,B,pending,AI提议补充卒年证据；请人工比对权威来源后转正,
