relation_id,source_person_id,target_person_id,standard_relation_type,current_risk,suggested_risk,suggested_confidence,needs_manual_review,correction_reason
REL-00462,ZLH-005,ZLH-074,合作,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-00466,ZLH-005,ZLH-082,合作,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-00713,ZLH-008,ZLH-039,合作,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-00834,ZLH-009,ZLH-093,合作,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-00918,ZLH-010,ZLH-074,合作,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-01008,ZLH-011,ZLH-074,纪念/悼念,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-01101,ZLH-012,ZLH-093,合作,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-01262,ZLH-014,ZLH-093,合作,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-01291,ZLH-014,ZLH-144,师生关系,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-01478,ZLH-017,ZLH-042,论战,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-02276,ZLH-028,ZLH-143,纪念/悼念,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-02857,ZLH-039,ZLH-143,纪念/悼念,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-03164,ZLH-053,ZLH-121,合作,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-03649,ZLH-080,ZLH-144,合作,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-03708,ZLH-083,ZLH-143,合作,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-03766,ZLH-091,ZLH-105,合作,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
REL-03792,ZLH-093,ZLH-119,合作,critical,medium,low,yes,AI预审：critical风险且无任何佐证，建议降级至medium并保留人工复核
