receipt_id,evidence_id,access_method,target,checked_at,access_status,locator,context_sha256,finding
RCPT-B4A-001,FE-EVI-0528D7CD44,local_text,D:\1大创\左联知识库项目\research\raw_texts\左联史.txt,2026-08-27T15:45:06,ok,第97页（灵活正则定位，起始偏移264904）,10b5c7a6eaffcccbe1060dda13ef7d29845302152de9ed0f50aa7501d2b8a8b9,原文逐字命中（允许空白/标点OCR差异），上下文已提取
RCPT-B4A-002,FE-EVI-21007B9057,local_text,D:\1大创\左联知识库项目\research\raw_texts\左联史.txt,2026-08-27T15:45:06,ok,第45页（灵活正则定位，起始偏移111045）,6f73ddc70a1d0336649af02bc593d26402530f64035d65c644ab223b244b07c9,原文逐字命中（允许空白/标点OCR差异），上下文已提取
RCPT-B4A-003,FE-EVI-3B84F7AC63,local_text,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,2026-08-27T15:45:06,ok,第256页（灵活正则定位，起始偏移300518）,b6b7e62075d956909153ec2bb8fd18e15c8a121868c7d16e0d3275de8eca2d99,原文逐字命中（允许空白/标点OCR差异），上下文已提取
RCPT-B4A-004,FE-EVI-489692805D,local_text,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,2026-08-27T15:45:06,ok,第175页（灵活正则定位，起始偏移168827）,2052b5f1edfd8089b0af8de3b4f32046d22eca3a48fdbfd41cbf48cb6f2e181f,原文逐字命中（允许空白/标点OCR差异），上下文已提取
RCPT-B4A-005,FE-EVI-58338B3D55,local_text,D:\1大创\左联知识库项目\research\raw_texts\左联史.txt,2026-08-27T15:45:06,ok,第507页（灵活正则定位，起始偏移1503942）,27719d63ca411d74133982be91d23ee15b292bdb3c9dfb95961ad24503109bde,原文逐字命中（允许空白/标点OCR差异），上下文已提取
RCPT-B4A-006,FE-EVI-6883382B0E,local_text,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,2026-08-27T15:45:06,ok,第354页（灵活正则定位，起始偏移460545）,f05330682407fe370016a073205c09a4fabdbe071cf7b03f539af691a86a5f5d,原文逐字命中（允许空白/标点OCR差异），上下文已提取
RCPT-B4A-007,FE-EVI-8DB5BD3637,local_text,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,2026-08-27T15:45:06,ok,第128页（灵活正则定位，起始偏移93909）,663be25cb5ae0d3407bf452badd02a6435dca57581c20666b7006e32eb6168b8,原文逐字命中（允许空白/标点OCR差异），上下文已提取
RCPT-B4A-008,FE-EVI-FD8EBDD93E,local_text,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,2026-08-27T15:45:06,ok,第276页（灵活正则定位，起始偏移333114）,4d1bd13cb7b63fd75328933ca59949f880cde6238ade62892f64b5f83d2aa35f,原文逐字命中（允许空白/标点OCR差异），上下文已提取
RCPT-B4A-009,FE-EVI-0357C10A69,local_text,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,2026-08-27T15:45:06,ok,1930年3月30日（灵活正则定位，起始偏移76770）,9a4e2024b69dbd4f850862a6bd47be8aac86f3589ab8388be72cf2b4dad2598f,原文逐字命中（允许空白/标点OCR差异），上下文已提取
RCPT-B4A-010,FE-EVI-04DD852F1C,local_text,D:\1大创\左联知识库项目\research\raw_texts\左联史.txt,2026-08-27T15:45:06,ok,第106页（灵活正则定位，起始偏移292481）,69bffc4d79aa048d1274dff049478381287deec7072064c0e532a6edefaf6ea4,原文逐字命中（允许空白/标点OCR差异），上下文已提取
RCPT-B4A-011,FE-EVI-43ECB964FE,local_text,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,2026-08-27T15:45:06,ok,第526页（灵活正则定位，起始偏移731992）,8595ceb71c881cac30c3effc7f54b2f770ac3d40b2f5d9ab633d27c7ec390f7a,原文逐字命中（允许空白/标点OCR差异），上下文已提取
RCPT-B4A-012,FE-EVI-D016A6A994,local_text,D:\1大创\左联知识库项目\research\raw_texts\左联史.txt,2026-08-27T15:45:06,ok,第109页（灵活正则定位，起始偏移302673）,70355a98df780bc66545970bbdaf3a297f7a74a5fdd08bdb1bed1f44f8de287a,原文逐字命中（允许空白/标点OCR差异），上下文已提取
RCPT-B4A-013,FE-EVI-2EC5596E2B,local_text,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,2026-08-27T15:45:06,ok,1929年2月16日（灵活正则定位，起始偏移48915）,854a2b30eac2dbfa2468aa928b74468b1f3996265a1760493932627d79a7a22b,原文逐字命中（允许空白/标点OCR差异），上下文已提取
RCPT-B4A-014,FE-EVI-CDAFBAFA48,web_url,https://www.shjinganlib.net/JaImpressionHistoryContent.aspx?ColumnNameEn=HISTORICBUILDINGS&id=171,2026-08-27T15:45:06,ok,正文第2段（创办与学生名单句）,32774afd9da5ed1fc50255f06c80117c5f7b36e8d205a902f55583121b134dbe,页面可访问，学生名单与创办年份逐字命中现有quote；无丁玲个人入学/抵沪日期表述
