evidence_id,subject_type,subject_id,predicate,object_value,source_id,locator,quote,evidence_support,source_level,review_status,reviewer_note,origin_evidence_id
"FE-EVP3-0001","event","EVT-00019","event_occurrence","鲁迅1929年2月16日下午往内山书店","SRC-EVP3-001","日记十八·二月·十六日条","林语堂来。下午往内山书店。","support","A","pending","逐字命中。支持当日到店内山书店的事实；日记未记谈话对象与时长，事件名“拜访”成立但“会客细节”不应展开。",""
"FE-EVP3-0002","event","EVT-00016","event_occurrence","鲁迅1929年6月19日得内山信并转寄达夫（与内山完造有书信往来）","SRC-EVP3-001","日记十八·六月·十九日条","得内山信，即转寄达夫。","support","A","pending","逐字命中。证明当日收到内山完造来信；方向为收信，事件名“与内山完造通信”成立，但不支持“亲自赴店”或双向通信的完整闭环。",""
"FE-EVP3-0003","event","EVT-00256","event_occurrence","鲁迅1930年9月17日在荷兰西菜室出席五十岁纪念集会，席中共二十二人","SRC-EVP3-002","日记十九·九月·十七日条","友人为我在荷兰西菜室作五十岁纪念，晚与广平携海婴同往，席中共二十二人，夜归。","support","A","pending","一级证据：日记原文逐字命中，日期、地点、人数齐全。与FE-EVP3-0009（虹口区政府页面转引同一篇《鲁迅日记》）可互校转录准确性，但不构成独立双源。",""
"FE-EVP3-0004","event","EVT-00006","event_occurrence","鲁迅1930年3月30日午后柔石来访（会面成立）","SRC-EVP3-002","日记十九·三月·三十日条","午后侍桁、雪峰、柔石来。","support","A","pending","逐字命中。支持3月30日柔石到寓会面；但当日日记无“看屋”记载，事件地点“北四川路一带”与3月28日看屋条目存在混淆，见FE-EVP3-0005。",""
"FE-EVP3-0005","event","EVT-00006","event_occurrence","北四川路一带看屋实际发生在1930年3月28日而非3月30日","SRC-EVP3-002","日记十九·三月·二十八日条","下午同柔石赴北四川路一带看屋，不得。","conflict","A","pending","逐字命中。证明“同柔石赴北四川路一带看屋”为3月28日事；当前事件把3月30日会面与3月28日看屋地点合并成一条，日期与地点需人工裁决拆分。",""
"FE-EVP3-0006","event","EVT-00007","event_occurrence","1930年3月31日鲁迅同柔石往海宁路看屋（非北四川路）","SRC-EVP3-002","日记十九·三月·三十一日条","下午同柔石往海宁路看屋。","conflict","A","pending","逐字命中。事件表correction_reason所称“03-31同柔石看屋”属实，但地点是海宁路；本条与EVT-00006同名同日同地，疑似重复事件，建议两合并后按日记拆分表述。",""
"FE-EVP3-0007","event","EVT-00018","event_occurrence","鲁迅1931年8月21日下午得内山信（与内山完造有书信往来）","SRC-EVP3-003","日记二十·八月·二十一日条","下午得内山信。","support","A","pending","逐字命中。支持当日收内山完造来信；次日（8月22日）日记另有“内山完造君招饮于新半斋……同坐四十余人”，如需扩展事件可另立条目。",""
"FE-EVP3-0008","event","EVT-00020","event_occurrence","1929年7月7日鲁迅日记无往内山书店记录（7月6日、9日均有买书记录）","SRC-EVP3-001","日记十八·七月·七日条","七日星期。雨。下午改《小小十年》讫。林语堂来。夜达夫来。","conflict","A","pending","逐字命中。当日日记无内山书店记载，与事件记录直接冲突；相邻7月6日“下午往内山书店买杂书四本”、7月9日“下午往内山书店买《革命芸术大系》”才是候选日期，建议人工改期。",""
"FE-EVP3-0009","event","EVT-00256","event_occurrence","1930年9月17日左联在法租界荷兰西菜室为鲁迅举行五十寿辰纪念会","SRC-EVP3-004","正文第2段（史沫特莱租场记述后）","１９３０年９月１７日，鲁迅日记记载：“友人为我在荷兰西菜室作五十岁纪念，晚与广平携海婴同往，席中共二十二人，夜归。”","support","B","pending","政府渠道转引日记原文，全角数字为页面原貌。所引为与FE-EVP3-0003同一篇《鲁迅日记》，两条记录仅可互校转录准确性，不构成独立双源；文中还提示9月24日农历生日为另一家庭纪念，展示层应区分。",""
"FE-EVP3-0010","event","EVT-00258","event_occurrence","《北斗》于1931年9月20日创刊，由上海湖风书局发行","SRC-EVP3-005","正文“《北斗》创刊的背景”节首段","《北斗》于1931年9月20日创刊，1932年7月被国民党查封，共出版8期，由上海湖风书局发行。","conflict","B","pending","逐字命中。创刊日期与事件表当前1931-09-01冲突，多来源一致作9月20日；发行方湖风书局与事件地点记载吻合。建议人工将日期修正为1931-09-20。",""
"FE-EVP3-0011","event","EVT-00261","event_occurrence","陈望道1934年9月20日创办《太白》半月刊","SRC-EVP3-006","正文“《太白》半月刊”节首句","陈望道于1934年9月20日创办了《太白》半月刊。","support","B","pending","逐字命中。日期与事件表一致；注意该文及文学馆条目均载刊物由生活书店出版发行，事件地点“霞飞路桃源坊”（编辑部/宅邸）需在展示层注明与出版机构的区别。",""
